grdc_no,lon,lat
911,-39.75,80.25
912,-39.25,80.25
913,-38.75,80.25
914,-38.25,80.25
915,-37.75,80.25
916,-37.25,80.25
917,-36.75,80.25
918,-36.25,80.25
919,-35.75,80.25
920,-35.25,80.25
921,-34.75,80.25
922,-34.25,80.25
923,-33.75,80.25
924,-33.25,80.25
925,-32.75,80.25
926,-32.25,80.25
927,-31.75,80.25
928,-31.25,80.25
929,-30.75,80.25
930,-30.25,80.25
931,-29.75,80.25
932,-29.25,80.25
933,-28.75,80.25
934,-28.25,80.25
935,-27.75,80.25
936,-27.25,80.25
937,-26.75,80.25
938,-26.25,80.25
939,-25.75,80.25
940,-25.25,80.25
941,-24.75,80.25
942,-24.25,80.25
943,-23.75,80.25
944,-23.25,80.25
945,-22.75,80.25
946,-22.25,80.25
947,-21.75,80.25
948,-21.25,80.25
949,-20.75,80.25
950,-20.25,80.25
951,-19.75,80.25
952,-19.25,80.25
953,-18.75,80.25
954,-18.25,80.25
955,-17.75,80.25
956,-17.25,80.25
957,-16.75,80.25
958,-16.25,80.25
959,-99.25,79.75
960,-98.75,79.75
961,-98.25,79.75
962,-97.75,79.75
963,-94.75,79.75
964,-94.25,79.75
965,-93.75,79.75
966,-93.25,79.75
967,-92.75,79.75
968,-92.25,79.75
969,-91.75,79.75
970,-91.25,79.75
971,-90.75,79.75
972,-90.25,79.75
973,-89.75,79.75
974,-89.25,79.75
975,-88.75,79.75
976,-88.25,79.75
977,-87.75,79.75
978,-87.25,79.75
979,-86.75,79.75
980,-86.25,79.75
981,-85.75,79.75
982,-85.25,79.75
983,-84.75,79.75
984,-84.25,79.75
985,-83.75,79.75
986,-83.25,79.75
987,-82.75,79.75
988,-82.25,79.75
989,-81.75,79.75
990,-81.25,79.75
991,-80.75,79.75
992,-80.25,79.75
993,-79.75,79.75
994,-79.25,79.75
995,-78.75,79.75
996,-78.25,79.75
997,-77.75,79.75
998,-77.25,79.75
999,-76.75,79.75
1000,-76.25,79.75
1001,-75.75,79.75
1002,-75.25,79.75
1003,-74.75,79.75
1004,-74.25,79.75
1005,-73.75,79.75
1006,-73.25,79.75
1007,-72.75,79.75
1008,-72.25,79.75
1009,-71.75,79.75
1010,-71.25,79.75
1011,-65.25,79.75
1012,-64.75,79.75
1013,-64.25,79.75
1014,-63.75,79.75
1015,-63.25,79.75
1016,-62.75,79.75
1017,-62.25,79.75
1018,-61.75,79.75
1019,-61.25,79.75
1020,-60.75,79.75
1021,-60.25,79.75
1022,-59.75,79.75
1023,-59.25,79.75
1024,-58.75,79.75
1025,-58.25,79.75
